date,month,province,category,confirmed_cases,confirmed_deaths,source,source_date,notes
2026-06-17,2026-06,Ituri,unventilated_unknown_health_zone,17,,SitRep N34/MVB,2026-06-17,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-06-18,2026-06,Ituri,unventilated_unknown_health_zone,18,,SitRep N35/MVB,2026-06-18,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-06-19,2026-06,Ituri,unventilated_unknown_health_zone,18,,SitRep N36/MVB,2026-06-19,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-06-20,2026-06,Ituri,unventilated_unknown_health_zone,18,,SitRep N37/MVB,2026-06-20,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-06-21,2026-06,Ituri,unventilated_unknown_health_zone,19,,SitRep N38/MVB,2026-06-21,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-06-22,2026-06,Ituri,unventilated_unknown_health_zone,19,,SitRep N39/MVB,2026-06-22,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-06-23,2026-06,Ituri,unventilated_unknown_health_zone,22,,SitRep N40/MVB,2026-06-23,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-06-24,2026-06,Ituri,unventilated_unknown_health_zone,22,,SitRep N41/MVB,2026-06-24,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-06-25,2026-06,Ituri,unventilated_unknown_health_zone,22,,SitRep N42/MVB,2026-06-25,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-06-27,2026-06,Ituri,unventilated_unknown_health_zone,24,,SitRep N44/MVB,2026-06-27,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-06-29,2026-06,Ituri,unventilated_unknown_health_zone,28,,SitRep N46/MVB,2026-06-29,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-06-30,2026-06,Ituri,unventilated_unknown_health_zone,649,,SitRep N47/MVB,2026-06-30,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-07-02,2026-07,Ituri,unventilated_unknown_health_zone,553,,SitRep N49/MVB,2026-07-02,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-07-03,2026-07,Ituri,unventilated_unknown_health_zone,527,,SitRep N50/MVB,2026-07-03,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-07-04,2026-07,Ituri,unventilated_unknown_health_zone,494,,SitRep N51/MVB,2026-07-04,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-07-05,2026-07,Ituri,unventilated_unknown_health_zone,439,,SitRep N52/MVB,2026-07-05,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-07-06,2026-07,Ituri,unventilated_unknown_health_zone,368,,SitRep N53/MVB,2026-07-06,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-07-07,2026-07,Ituri,unventilated_unknown_health_zone,52,,SitRep N54/MVB,2026-07-07,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-07-08,2026-07,Ituri,unventilated_unknown_health_zone,55,,SitRep N55/MVB,2026-07-08,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-07-09,2026-07,Ituri,unventilated_unknown_health_zone,52,,SitRep N56/MVB,2026-07-09,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-07-11,2026-07,Ituri,unventilated_unknown_health_zone,51,,SitRep N58/MVB,2026-07-11,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-08-04,2026-08,Ituri,unventilated_unknown_health_zone,80,,SitRep N82/MVB,2026-08-04,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-08-07,2026-08,Ituri,unventilated_unknown_health_zone,200,,SitRep N85/MVB,2026-08-07,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-08-12,2026-08,Ituri,unventilated_unknown_health_zone,4655,,SitRep N90/MVB,2026-08-12,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-08-13,2026-08,Ituri,unventilated_unknown_health_zone,4716,,SitRep N91/MVB,2026-08-13,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-08-14,2026-08,Ituri,unventilated_unknown_health_zone,4832,,SitRep N92/MVB,2026-08-14,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-08-15,2026-08,Ituri,unventilated_unknown_health_zone,4932,,SitRep N93/MVB,2026-08-15,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-08-18,2026-08,Ituri,unventilated_unknown_health_zone,5194,,SitRep N96/MVB,2026-08-18,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-08-19,2026-08,Ituri,unventilated_unknown_health_zone,5275,,SitRep N97/MVB,2026-08-19,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-08-20,2026-08,Ituri,unventilated_unknown_health_zone,5360,,SitRep N98/MVB,2026-08-20,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-08-25,2026-08,Ituri,unventilated_unknown_health_zone,5698,,SitRep N103/MVB,2026-08-25,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-08-26,2026-08,Ituri,unventilated_unknown_health_zone,5777,,SitRep N104/MVB,2026-08-26,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-08-27,2026-08,Ituri,unventilated_unknown_health_zone,5844,,SitRep N105/MVB,2026-08-27,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-08-28,2026-08,Ituri,unventilated_unknown_health_zone,3790,,SitRep N106/MVB,2026-08-28,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
2026-08-29,2026-08,Ituri,unventilated_unknown_health_zone,3856,,SitRep N107/MVB,2026-08-29,Cases reported as unassigned / non-ventilated / no case form; not plotted on the map. Automatically extracted or inferred as total minus mapped health-zone counts.
