as_of_date,as_of_label,cumulative_confirmed_cases,imported_cases,local_cases,new_cases_last_24h,current_admissions,recoveries,cumulative_deaths,total_persons_tested,all_time_contacts_listed,active_contacts_under_followup,completed_21day_followup,total_alerts,alerts_verified,poe_screened_last_24h,poe_inbound_last_24h,poe_outbound_last_24h,source_url,notes,fetched_at_utc
2026-06-11,"Thursday, 11 June 2026",19,14,5,0,12,5,2,1204,820,409,394,604,594,0,0,0,https://evd-daily.health.go.ug/,Historical Uganda EVD snapshot retained for no-increase calculation.,2026-06-11T00:00:00Z
2026-06-12,"Friday, 12 June 2026",19,14,5,0,12,5,2,1204,820,409,394,604,594,0,0,0,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard. Latest screenshot reviewed by user showed no new cases in the last 24 hours.,2026-06-12T10:14:37Z
2026-06-15,"Monday, 15 June 2026",202619,14,5,0,10,7,2,1395,826,233,582,604,594,,,,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard.,2026-06-16T04:19:05+00:00
2026-06-16,"Tuesday, 16 June 2026",202619,14,5,,10,7,2,1395,826,192,624,604,594,,,,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard.,2026-06-17T04:15:25+00:00
2026-06-17,"Wednesday, 17 June 2026",19,14,5,,10,7,2,1395,826,122,694,604,594,,,,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard.,2026-06-18T04:06:25+00:00
2026-06-18,"Thursday, 18 June 2026",19,14,5,,7,10,2,1684,826,122,694,604,594,,,,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard.,2026-06-19T04:25:22+00:00
2026-06-19,"Friday, 19 June 2026",19,14,5,,7,10,2,1722,826,100,716,604,594,,,,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard.,2026-06-20T03:49:22+00:00
2026-06-20,"Saturday, 20 June 2026",19,14,5,,6,11,2,1722,826,70,746,604,594,,,,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard.,2026-06-21T04:20:49+00:00
2026-06-21,"Sunday, 21 June 2026",20,15,5,,4,14,2,1787,826,56,760,604,594,,,,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard.,2026-06-22T04:22:49+00:00
2026-06-22,"Monday, 22 June 2026",20,15,5,,4,14,2,1787,826,9,817,604,594,,,,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard.,2026-06-23T03:40:21+00:00
2026-06-23,"Tuesday, 23 June 2026",20,15,5,,4,14,2,1787,831,9,814,604,594,,,,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard.,2026-06-24T03:41:25+00:00
